repo,file,check_type,object_name,kind_or_line,naive,structured,gap_or_flag
aiopg,corpus-study/repo_src/aiopg/aiopg/connection.py,wait_for,_poll,881,unsat,unsat,"handled_locally"
aio-pika,corpus-study/repo_src/aio-pika/aio_pika/robust_connection.py,EVENT,RobustConnection.__connection_close_event,,sat,unsat,yes
aio-pika,corpus-study/repo_src/aio-pika/aio_pika/robust_exchange.py,LOCK,RobustExchange.__restore_lock,,unsat,unsat,no
aio-pika,corpus-study/repo_src/aio-pika/aio_pika/robust_queue.py,wait_for,__anext__,255,unsat,unsat,"handled_locally"
aio-pika,corpus-study/repo_src/aio-pika/aio_pika/robust_queue.py,wait_for,__anext__,301,unsat,sat,"callee 'ready' not in this file -- needs manual check"
aio-pika,corpus-study/repo_src/aio-pika/aio_pika/robust_channel.py,EVENT,RobustChannel.__restored,,sat,unsat,yes
aio-pika,corpus-study/repo_src/aio-pika/aio_pika/robust_channel.py,LOCK,RobustChannel.__restore_lock,,unsat,unsat,no
aioredis,corpus-study/repo_src/aioredis/aioredis/client.py,LOCK,PubSub._lock,,unsat,unsat,no
aioredis,corpus-study/repo_src/aioredis/aioredis/connection.py,LOCK,Connection._lock,,unsat,unsat,no
aioredis,corpus-study/repo_src/aioredis/aioredis/connection.py,LOCK,ConnectionPool._lock,,sat,unsat,yes
aioredis,corpus-study/repo_src/aioredis/aioredis/connection.py,wait_for,send_packed_command,860,unsat,unsat,"handled_locally"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/pools.py,QUEUE,CyclicQueuePool.pool,,unsat,unsat,no
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/pools.py,wait_for,acquire,121,unsat,sat,"callee 'get' not in this file -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/pools.py,wait_for,acquire,164,unsat,sat,"no handler found within same-file call chain -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/http2.py,EVENT,Http2Handler._window_updated,,sat,sat,no
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/client.py,wait_for,_do_request,536,unsat,sat,"callee 'readuntil' not in this file -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/client.py,wait_for,request,848,unsat,sat,"no handler found within same-file call chain -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/client.py,wait_for,wait_requests,968,unsat,sat,"callee 'wait_free_pool' not in this file -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/connection.py,LOCK,Connection._connect_lock,,unsat,unsat,no
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/web_socket_client.py,LOCK,WebSocketConnection._send_lock,,unsat,unsat,no
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/web_socket_client.py,wait_for,receive_pong,309,unsat,sat,"callee 'get' not in this file -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/web_socket_client.py,wait_for,_get_message,344,unsat,sat,"callee 'get' not in this file -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/web_socket_client.py,wait_for,_keep_alive_loop,364,unsat,sat,"no handler found within same-file call chain -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/web_socket_client.py,wait_for,_keep_alive_loop,364,unsat,sat,"no handler found within same-file call chain -- needs manual check"
aiosonic,corpus-study/repo_src/aiosonic/aiosonic/connectors.py,wait_for,after_acquire,103,unsat,unsat,"handled_locally"
arq,corpus-study/repo_src/arq/arq/worker.py,wait_for,run_job,599,unsat,sat,"callee 'create_task' not in this file -- needs manual check (possible handler hint: a call to '.expire()' was seen nearby but isn't an exact cleanup-verb match -- verify manually)"
arq,corpus-study/repo_src/arq/arq/worker.py,wait_for,run_job,599,unsat,sat,"callee 'create_task' not in this file -- needs manual check (possible handler hint: a call to '.expire()' was seen nearby but isn't an exact cleanup-verb match -- verify manually)"
arq,corpus-study/repo_src/arq/arq/worker.py,wait_for,_wait_for_tasks_to_complete,815,unsat,unsat,"handled_locally"
arq,corpus-study/repo_src/arq/arq/cli.py,EVENT,watch_reload::stop_event,,unsat,unsat,no
asyncpg,corpus-study/repo_src/asyncpg/asyncpg/pool.py,QUEUE,Pool._queue,,unsat,unsat,no
asyncpg,corpus-study/repo_src/asyncpg/asyncpg/pool.py,wait_for,release,228,unsat,unsat,"handled_locally"
asyncpg,corpus-study/repo_src/asyncpg/asyncpg/pool.py,wait_for,_acquire,898,unsat,unsat,"handled_in_callee_chain:_acquire_impl"
databases,corpus-study/repo_src/databases/databases/core.py,LOCK,Connection._connection_lock,,sat,unsat,yes
databases,corpus-study/repo_src/databases/databases/core.py,LOCK,Connection._query_lock,,sat,unsat,yes
faust,corpus-study/repo_src/faust/t/functional/agents/helpers.py,EVENT,AgentCase.agent_started,,unsat,unsat,no
faust,corpus-study/repo_src/faust/t/functional/agents/helpers.py,EVENT,AgentCase.agent_started_processing,,unsat,unsat,no
faust,corpus-study/repo_src/faust/t/functional/agents/helpers.py,EVENT,AgentCase.agent_stopped_processing,,unsat,unsat,no
faust,corpus-study/repo_src/faust/t/functional/agents/helpers.py,EVENT,AgentCase.finished,,unsat,unsat,no
faust,corpus-study/repo_src/faust/t/functional/helpers.py,wait_for,times_out,18,unsat,sat,"no callee name resolved -- needs manual check"
faust,corpus-study/repo_src/faust/faust/agents/manager.py,EVENT,AgentManager._agents_started,,unsat,unsat,no
faust,corpus-study/repo_src/faust/faust/channels.py,wait_for,get,429,unsat,sat,"no handler found within same-file call chain -- needs manual check"
faust,corpus-study/repo_src/faust/faust/streams.py,EVENT,Stream.take::buffer_full,,unsat,unsat,no
faust,corpus-study/repo_src/faust/faust/streams.py,EVENT,Stream.take::buffer_consumed,,unsat,unsat,no
faust,corpus-study/repo_src/faust/faust/streams.py,EVENT,Stream._passive_started,,sat,unsat,yes
faust,corpus-study/repo_src/faust/faust/tables/recovery.py,EVENT,Recovery.completed,,unsat,unsat,no
faust,corpus-study/repo_src/faust/faust/tables/recovery.py,wait_for,_slurp_changelogs,718,unsat,sat,"callee 'get' not in this file -- needs manual check"
faust,corpus-study/repo_src/faust/faust/tables/manager.py,EVENT,TableManager._tables_finalized,,unsat,unsat,no
faust,corpus-study/repo_src/faust/faust/tables/manager.py,EVENT,TableManager._tables_registered,,unsat,unsat,no
faust,corpus-study/repo_src/faust/faust/tables/manager.py,EVENT,TableManager._recovery_started,,unsat,unsat,no
faust,corpus-study/repo_src/faust/faust/transport/consumer.py,wait_for,on_stop,155,unsat,sat,"callee 'ensure_future' not in this file -- needs manual check"
faust,corpus-study/repo_src/faust/faust/transport/consumer.py,wait_for,_wait_for_ack,740,unsat,sat,"callee 'Future' not in this file -- needs manual check"
quart,corpus-study/repo_src/quart/src/quart/asgi.py,wait_for,handle_request,117,unsat,sat,"no handler found within same-file call chain -- needs manual check"
quart,corpus-study/repo_src/quart/src/quart/testing/app.py,EVENT,TestApp._startup,,unsat,unsat,no
quart,corpus-study/repo_src/quart/src/quart/testing/app.py,EVENT,TestApp._shutdown,,unsat,unsat,no
quart,corpus-study/repo_src/quart/src/quart/testing/app.py,wait_for,startup,52,unsat,sat,"callee 'wait' not in this file -- needs manual check"
quart,corpus-study/repo_src/quart/src/quart/testing/app.py,wait_for,shutdown,59,unsat,sat,"callee 'wait' not in this file -- needs manual check"
quart,corpus-study/repo_src/quart/src/quart/wrappers/request.py,wait_for,get_data,279,unsat,sat,"callee 'body_class' not in this file -- needs manual check"
quart,corpus-study/repo_src/quart/src/quart/wrappers/request.py,wait_for,_load_form_data,343,unsat,sat,"callee 'parse' not in this file -- needs manual check"
quart,corpus-study/repo_src/quart/src/quart/app.py,wait_for,shutdown,1785,unsat,sat,"callee 'gather' not in this file -- needs manual check"
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/keyspace_notifications.py,LOCK,AsyncClusterKeyspaceNotifications._refresh_lock,,unsat,unsat,no
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/cluster.py,LOCK,RedisCluster._lock,,sat,unsat,yes
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/cluster.py,LOCK,RedisCluster._usage_lock,,sat,unsat,yes
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/client.py,LOCK,Redis._single_conn_lock,,sat,unsat,yes
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/client.py,LOCK,Redis._usage_lock,,sat,unsat,yes
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/client.py,LOCK,PubSub._lock,,unsat,unsat,no
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/connection.py,LOCK,ConnectionPool._lock,,sat,unsat,yes
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/connection.py,wait_for,send_packed_command,686,unsat,unsat,"handled_locally"
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/multidb/client.py,LOCK,MultiDBClient._hc_lock,,unsat,unsat,no
redis-py,corpus-study/repo_src/redis-py/redis/asyncio/multidb/healthcheck.py,wait_for,execute_with_timeout,141,unsat,sat,"no handler found within same-file call chain -- needs manual check"
redis-py,corpus-study/repo_src/redis-py/redis/event.py,LOCK,EventDispatcher._async_lock,,unsat,unsat,no
sanic,corpus-study/repo_src/sanic/sanic/server/protocols/base_protocol.py,EVENT,SanicProtocol._can_write,,sat,sat,no
sanic,corpus-study/repo_src/sanic/sanic/server/protocols/base_protocol.py,EVENT,SanicProtocol._data_received,,sat,sat,no
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/frame.py,LOCK,WebsocketFrameAssembler.read_mutex,,sat,unsat,yes
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/frame.py,EVENT,WebsocketFrameAssembler.message_complete,,sat,unsat,yes
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/frame.py,EVENT,WebsocketFrameAssembler.message_fetched,,sat,unsat,yes
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/frame.py,QUEUE,WebsocketFrameAssembler.chunks_queue,,unsat,unsat,no
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/frame.py,LOCK,WebsocketFrameAssembler.write_mutex,,unsat,unsat,no
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/frame.py,wait_for,get,121,unsat,sat,"callee 'wait' not in this file -- needs manual check"
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/impl.py,LOCK,WebsocketImplProtocol.process_event_mutex,,unsat,unsat,no
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/impl.py,LOCK,WebsocketImplProtocol.conn_mutex,,sat,unsat,yes
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/impl.py,LOCK,WebsocketImplProtocol.recv_lock,,sat,unsat,yes
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/impl.py,wait_for,wait_for_connection_lost,171,unsat,sat,"callee 'shield' not in this file -- needs manual check"
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/impl.py,wait_for,keepalive_ping,241,unsat,sat,"no callee name resolved -- needs manual check"
sanic,corpus-study/repo_src/sanic/sanic/server/websockets/impl.py,wait_for,keepalive_ping,241,unsat,sat,"no callee name resolved -- needs manual check"
sanic,corpus-study/repo_src/sanic/sanic/models/asgi.py,EVENT,MockProtocol._not_paused,,sat,unsat,yes
sanic,corpus-study/repo_src/sanic/sanic/app.py,wait_for,event,788,unsat,sat,"callee 'wait' not in this file -- needs manual check"
taskiq,corpus-study/repo_src/taskiq/taskiq/cli/worker/run.py,wait_for,shutdown_broker,46,unsat,sat,"callee 'shutdown' not in this file -- needs manual check"
taskiq,corpus-study/repo_src/taskiq/taskiq/api/receiver.py,EVENT,run_receiver_task::finish_event,,unsat,unsat,no
tortoise-orm,corpus-study/repo_src/tortoise-orm/tortoise/backends/asyncpg/client.py,wait_for,_close,82,unsat,unsat,"handled_locally"
tortoise-orm,corpus-study/repo_src/tortoise-orm/examples/complex_filtering.py,EVENT,run::event_first,,unsat,unsat,no
tortoise-orm,corpus-study/repo_src/tortoise-orm/examples/functions.py,EVENT,run::event,,unsat,unsat,no
tortoise-orm,corpus-study/repo_src/tortoise-orm/examples/transactions.py,EVENT,run::event,,unsat,unsat,no
tortoise-orm,corpus-study/repo_src/tortoise-orm/examples/relations.py,EVENT,run::event,,unsat,unsat,no
